Panel,DonorID,Title,FirstName,LastName,Suffix,GreetingLine,Company,Department,AddressLine1,AddressLine2,City,State,ZIP5,ZIP4,Email,Phone,Fax,DonationAmount,MailCode,DeliveryPoint,BarcodeIdentifier,ServiceTypeID,MailerID,SerialNumber,CongressionalDistrict,CongressionalName,Representative,Senator
2,561942,Ms.,Angela,Santos,Jr.,Dear Ms. Santos,Lin-Lee,Research,61885 Gentry Landing,Suite 300,Wangland,TN,46370,6065,Angela.Santos21023@example.com,(713)804-4326x0597,714-942-0864x593,141.18,C3,75,33,221,383413,249903942,2,Utah-8,Michelle Irwin,Sandra Miller
2,231464,Mr.,John,Perez,III,Dear Mr. Perez,Duran-Ball,Research,136 Campbell Corners,Suite 300,Port Toddberg,ND,62687,8657,John.Perez19123@example.com,(321)231-3592x54413,692-860-9957,179.47,B2,24,30,310,184490,940768332,10,Washington-10,Samantha Lane,Nicholas Simon
2,9338125,Mrs.,Tina,Smith,Jr.,Dear Mrs. Smith,Dunn-Castro,Research,4326 West Estate,Suite 300,Janetton,DE,40416,7251,Tina.Smith18156@example.com,001-846-571-8790x1093,475-284-3044x2773,152.55,C3,07,11,019,654129,127076059,7,Wyoming-1,Rodney Dean,Kevin Hernandez
2,9714561,Dr.,Elizabeth,Gardner,Jr.,Dear Dr. Gardner,Allen Group,IT,3612 Andrew Lakes Suite 691,Suite 300,Kaylashire,FL,09230,4013,Elizabeth.Gardner18423@example.com,293-438-9479x668,001-616-597-9058,238.94,D4,44,49,246,570303,997925744,12,Minnesota-5,Robert Terrell,Janet Myers
2,147149,Mrs.,Belinda,Jacobson,Jr.,Dear Mrs. Jacobson,Gardner-Mullins,HR,6589 Christopher Skyway Apt. 200,Suite 300,Lake Holly,ID,23265,0700,Belinda.Jacobson16523@example.com,(233)818-7492,205-823-3693x8620,285.67,D4,37,75,620,597848,729236705,2,Massachusetts-4,Kenneth Morrison,Sandra Brown
2,39495,Ms.,Zachary,Henry,,Dear Ms. Henry,Richardson Ltd,,5460 Laura Lock Apt. 883,Apt 2B,New Robertview,ME,48729,6452,Zachary.Henry15707@example.com,796-857-7440x47594,+1-921-468-4792x9475,206.17,C3,00,97,786,751292,253340907,3,Tennessee-1,Roger Buchanan,James Nielsen
2,41223327,Mrs.,Dustin,Mejia,,Dear Mrs. Mejia,Lopez-Ortiz,IT,19612 Fields Island Suite 729,Apt 2B,Burgessport,IA,93547,5101,Dustin.Mejia20084@example.com,955.393.1232,(525)646-3529,310.24,B2,33,46,277,336391,720501892,4,New Hampshire-3,Evan Dunn,Jeffrey Taylor
2,11195966,Mrs.,Elizabeth,Ramirez,III,Dear Mrs. Ramirez,Garcia-Prince,Research,81673 Martinez Hill Apt. 495,,North Jenniferhaven,NM,20305,1525,Elizabeth.Ramirez18943@example.com,+1-962-542-5545x72065,925-919-9667,374.32,C3,28,71,938,443324,949057480,4,Georgia-6,Jessica Oliver,Christopher Simon
2,4765158,Mr.,Kimberly,Oliver,Sr.,Dear Mr. Oliver,Phillips Group,Research,05962 Silva Viaduct Apt. 538,Suite 300,West Joshua,MS,24719,8064,Kimberly.Oliver15112@example.com,499-285-0904x74525,001-859-964-1972,263.19,B2,55,23,781,515513,766087926,11,New Hampshire-3,Mary Lynch,Kim Dougherty
2,777857,Dr.,Valerie,Medina,Jr.,Dear Dr. Medina,"Mack, Jones and Mills",Research,625 Frank Manor,Suite 300,Port Courtney,MS,36163,7718,Valerie.Medina15731@example.com,(993)430-9991,(972)354-1729,300.95,A1,41,49,977,575716,274798707,5,North Dakota-6,Robert Silva,Kathryn Daniel
