Panel,DonorID,Title,FirstName,LastName,Suffix,GreetingLine,Company,Department,AddressLine1,AddressLine2,City,State,ZIP5,ZIP4,Email,Phone,Fax,DonationAmount,MailCode,DeliveryPoint,BarcodeIdentifier,ServiceTypeID,MailerID,SerialNumber,CongressionalDistrict,CongressionalName,Representative,Senator
4,21747148,Mrs.,Vanessa,Hogan,Jr.,Dear Mrs. Hogan,Haynes-Robinson,IT,991 Spence Forge,,East Corychester,WV,44197,4042,Vanessa.Hogan35599@example.com,331-365-5667x626,001-628-421-6833x064,396.9,C3,32,46,078,693137,142229596,2,Georgia-2,Steven Barber,Juan Fisher
4,38351,Mrs.,Christian,Mccall,,Dear Mrs. Mccall,Meyers-Allen,Finance,07737 Newton Lake Suite 262,Suite 300,South Lisa,NM,59924,0450,Christian.Mccall34217@example.com,270-914-5703x01265,252.563.2693x693,177.1,B2,32,25,713,235352,009906523,1,Texas-1,Robert Yu,Hayley Clark
4,98868298,Mrs.,James,Wells,Sr.,Dear Mrs. Wells,Williams Inc,Research,796 Carlos Track,Apt 2B,East Normaport,WY,73012,6740,James.Wells34685@example.com,001-449-614-0939x463,677-707-9596,433.83,C3,40,90,546,765936,225894253,1,Idaho-3,Anna Watkins,Nicole Liu
4,279237,Mr.,Caroline,Marquez,Jr.,Dear Mr. Marquez,Thornton-Barrett,HR,5926 Jones Expressway,Apt 2B,New Davidmouth,MD,23147,0623,Caroline.Marquez32944@example.com,8883831670,001-884-425-3199x204,253.96,C3,67,92,205,366630,167488474,7,New Hampshire-10,Jessica Rodriguez MD,Linda Black
4,47862453,Mrs.,Kimberly,Anderson,III,Dear Mrs. Anderson,"Foster, Davis and Wolf",Finance,4903 Sandra Walk,Floor 5,New Michaelhaven,NC,49261,0570,Kimberly.Anderson33669@example.com,(550)454-3006x734,7918679635,264.2,B2,00,36,864,250228,253438473,11,Nebraska-8,Cassandra Payne,Ian Cross
4,513821,Mr.,Roger,Mora,Sr.,Dear Mr. Mora,Woodard PLC,Finance,26324 Matthew Wall,Suite 300,South Laura,TN,32390,6060,Roger.Mora36895@example.com,312.917.4765x5050,(990)577-4125x9713,52.63,A1,69,51,430,052267,417978413,1,Oklahoma-7,Paul Arroyo,Jeremy Neal
4,589584,Ms.,Steven,Gomez,Jr.,Dear Ms. Gomez,Jacobs Ltd,HR,69258 Matthew Haven Apt. 081,Suite 300,New Melindaville,CO,71375,8485,Steven.Gomez32506@example.com,(440)270-9819,(474)771-7951x23185,498.43,D4,77,47,396,024037,272658295,3,New Hampshire-6,Chad Melendez,Ashlee Koch
4,26678997,Ms.,Brandi,Hudson,III,Dear Ms. Hudson,Ford PLC,Research,380 Shawn Harbor,Apt 2B,North Carloston,IA,13093,6349,Brandi.Hudson36956@example.com,(746)391-9194,001-763-660-1996x72466,140.07,A1,91,93,588,043038,741191289,9,Idaho-1,Stephen Bailey,Ashley Hernandez
4,932372,Ms.,Andrew,Moran,Jr.,Dear Ms. Moran,Bradley-Lee,HR,603 Matthew Expressway Suite 655,,West Daniel,AZ,36729,5394,Andrew.Moran35548@example.com,923.644.3940x75262,217.718.4216x128,211.22,A1,91,24,505,650941,887208193,3,Rhode Island-11,Allison Proctor,Natalie Randolph
4,32368,Mr.,Connie,Smith,,Dear Mr. Smith,Shelton LLC,Research,643 Barnes Islands Suite 431,Floor 5,West Jonathan,NE,12908,5521,Connie.Smith37159@example.com,412.340.8876,430.581.9746x501,390.35,B2,38,49,149,068183,723231386,2,Minnesota-9,Stephanie Bowman,Victoria Barr
4,147538,Ms.,James,Moore,Sr.,Dear Ms. Moore,Hunt Inc,Finance,05327 Randall Forge Suite 395,Floor 5,Rogershaven,IN,96889,4243,James.Moore37406@example.com,8262675951,438.855.9799,108.14,B2,71,88,369,740269,863200349,1,Maine-2,Jesse Meyer,Kathryn Harris
4,7633577,Dr.,Karen,Sandoval,Sr.,Dear Dr. Sandoval,Kent and Sons,,196 Heather Pines Apt. 728,Suite 300,Figueroafort,MI,78888,3783,Karen.Sandoval33155@example.com,001-207-641-9475,287-920-2097,110.59,C3,42,64,963,417350,013406091,3,Arkansas-8,Ryan Preston,Emily Foley
4,38358,Ms.,Haley,Hill,III,Dear Ms. Hill,Obrien-Blackburn,,06259 Wiley Stream,Suite 300,Mcdonaldland,GA,33141,1593,Haley.Hill35451@example.com,305.360.6967,379-451-0267,360.44,A1,24,20,020,742650,505415100,6,Wyoming-11,Elaine Archer,Danielle Graves
4,8189467,Ms.,Molly,Everett,III,Dear Ms. Everett,Bennett LLC,,231 Walton Station Apt. 011,Floor 5,Port Nathan,AL,57841,3742,Molly.Everett34027@example.com,296.750.8306,878-454-3203x6412,373.81,B2,72,18,729,311948,950710168,10,Washington-2,Jason Waters,Ryan Swanson
4,23948,Dr.,Kim,Stone,Sr.,Dear Dr. Stone,"Wagner, Mcbride and Elliott",Research,35810 Woodard Mall Suite 423,,West Stevenside,WI,92631,3626,Kim.Stone35537@example.com,928-582-6012,(278)573-7407x18032,98.09,B2,22,59,003,281086,987745134,12,Tennessee-12,Ashley Hill,Elizabeth Holland
4,319245,Mrs.,Jason,Best,,Dear Mrs. Best,Arellano-Marshall,,75685 William Throughway Suite 011,Floor 5,Freemanmouth,VA,72410,3180,Jason.Best36055@example.com,+1-905-348-7829x170,001-645-927-9416x7069,83.04,C3,60,66,547,053668,015720273,7,Tennessee-3,Todd Santos,Sarah Hughes
4,355855,Mrs.,James,Robles,,Dear Mrs. Robles,Fitzpatrick Inc,IT,352 Melissa Drive,Apt 2B,Stephenland,UT,60102,5334,James.Robles37083@example.com,+1-559-752-3931,001-648-453-7767x96276,88.47,D4,75,73,378,369107,612679617,3,South Carolina-7,Michael Baker,Zachary Garcia
4,76211,Mr.,William,Green,Jr.,Dear Mr. Green,"Lewis, Whitney and Cain",,24327 Larsen Stravenue Apt. 084,Suite 300,Johnsonland,NH,19085,3490,William.Green36106@example.com,(723)234-3833x9351,(572)854-6070,76.67,A1,09,27,079,359395,813749083,5,Alaska-3,Sydney Davis,Eric Lloyd
