panel,donorId,title,firstName,lastName,suffix,greetingLine,company,department,addressLine1,addressLine2,city,state,zip5,zip4,email,phone,fax,donationAmount,mailCode,deliveryPoint,barcodeIdentifier,serviceTypeId,mailerId,serialNumber,congressionalDistrict,congressionalName,representative,senator
4,3581454,Mr.,Kelly,Rice,,Dear Mr. Rice,Stewart-Juarez,HR,59475 Rita View Suite 016,Floor 5,Ramirezchester,RI,40580,4425,Kelly.Rice39698@example.com,(754)523-7959x6623,+1-365-540-3119x5150,178.57,D4,98,19,437,275137,439228342,10,Georgia-7,Jo Cooper,Christian Day
4,3572985,Dr.,Michael,Ryan,Jr.,Dear Dr. Ryan,Mckinney and Sons,HR,447 Smith Key Suite 198,,Lake Heatherberg,MS,41700,2055,Michael.Ryan46245@example.com,001-351-213-9991x12238,857-404-8518x913,45.79,A1,86,46,198,304195,360584300,12,Idaho-9,Stacy Williams,Angela Johnson
4,41587,Ms.,Christopher,Walker,,Dear Ms. Walker,Evans-Berg,,18556 Luke Common,Suite 300,North Karen,GA,80345,5176,Christopher.Walker45835@example.com,609.434.8717x160,410-459-3392x75614,494.67,D4,93,66,828,627094,056563891,9,Montana-3,Cristian Harper,Julie Jimenez
4,23231638,Mr.,Heather,Wolfe,,Dear Mr. Wolfe,"Woods, Brady and Miller",,7759 Williamson Coves,Floor 5,Wesleyport,FL,20538,1714,Heather.Wolfe46744@example.com,962-950-0759,(826)948-4708x9844,415.29,B2,55,98,402,999102,803332638,2,Maryland-8,Martha Scott,Lisa Walker
4,791183,Mr.,Nicolas,Wells,Jr.,Dear Mr. Wells,Mcconnell Inc,Finance,2009 Horne Greens Suite 170,Apt 2B,Kylemouth,MN,97340,1239,Nicolas.Wells43785@example.com,892.223.9154x7376,8229534156,472.57,D4,00,37,606,361519,379233919,10,Mississippi-5,Heather Beck,Dylan Duffy
4,277365,Dr.,Lisa,Kaiser,Jr.,Dear Dr. Kaiser,Ross Group,Research,1593 Stacy Stravenue Apt. 620,Floor 5,North Cody,MI,12357,0946,Lisa.Kaiser42528@example.com,220.328.4810x82118,+1-581-717-5701,123.08,A1,27,33,715,245292,756619750,7,Minnesota-1,Carolyn Glenn,Connie Gonzalez
4,8522877,Mrs.,Jonathon,Johnson,Jr.,Dear Mrs. Johnson,Peterson LLC,Finance,359 Ayers Glen Apt. 243,,Barajasberg,HI,37785,1810,Jonathon.Johnson47740@example.com,001-725-282-0495x9600,270-774-7635x2528,81.26,D4,41,20,818,512602,209299608,8,Alabama-9,Kerri Thomas,Derrick Davis II
4,5891883,Dr.,Eric,Nash,Sr.,Dear Dr. Nash,Scott-Perry,Research,6539 Tammy Mountains,Apt 2B,Lake Teresashire,MT,99723,2304,Eric.Nash36642@example.com,8963489620,860-585-4934,452.22,C3,76,94,685,671204,524237730,3,South Dakota-10,Michael Dawson,Brandon Johnson
4,56841878,Dr.,Sue,Davis,,Dear Dr. Davis,"Acevedo, Hinton and Hall",,67516 Aimee Pine,,Brownhaven,NV,32100,8536,Sue.Davis46138@example.com,001-972-285-4990x2589,+1-282-450-9398x95524,93.83,D4,81,10,898,778114,080624889,6,Kansas-3,Tyler Baker,Matthew Jones
4,6284273,Dr.,Patrick,Brown,Jr.,Dear Dr. Brown,Diaz-Green,Research,5971 Pamela Courts Suite 896,,North Deborahton,TX,33872,4186,Patrick.Brown46168@example.com,+1-206-985-5208x724,626-457-7251x58207,24.88,B2,08,65,059,152237,033191181,12,Delaware-5,John Bush,Amy Jackson
